Salve!, Hello
Buongiorno, Good Morning
Buongiorno, Good Afternoon
Buonasera, Good Evening
Buonanotte, Good Night
Grazie Mille, Thank You Very Much
Arrivederci, Goodbye
Mi chiamo, My name is
Sono American, I’m American
Piacere, Nice to meet you
Sì, Yes
No, No
Per favore, Please
Grazie, Thank You
Molte grazie, Thank You Very Much
Prego!, You're Welcome!
Si figuri!, It's nothing
Mi scusi, Excuse Me
Prego, By all means
Può ripetere, per cortesia?, Can you please repeat?
Come ti chiami?, What’s your name?
Come si chiama?, What’s your name?
Mi chiamo, My name is
Sono, I am
Piacere., Nice to meet you.
Piacere mio., The pleasure is mine.
Di dov’è?, Where are you from?
Di dove sei?, Where are you from?
Quanti anni ha?, How old are you?
Che lavoro fa?, What do you do for work?
Che lavoro fai?, What do you do for work?
Faccio (l’insegnante)., I’m a (teacher)
I Don't Understand, Mi scusi, non capisco
Non parlo italiano molto bene, I don’t speak Italian very well
Cosa vuole dire?, What does that mean?
Parla inglese?, Do you speak English?
Mi scusi, I’m sorry
Non lo so, I don’t know
Va bene, All right
Non importa, Never mind
Un tavolo per uno / due per favore, A table for one / two please
Siete già aperti?, Are you open yet?
Mi scusi!, Excuse me!
Cosa mi consiglia?, What do you recommend?
Qual è la specialità della casa?, What’s your most popular dish?
Cos’è questo?, What’s this?
Faccia Lei!, It’s up to you/You can decide
Il conto per favore, The cheque, please
Potrei avere il menu per favore?, Can I have the menu please?
Possiamo aspettare?, Can we wait?
Possiamo sederci qui?, Can we sit here?
Vorrei andare a, I want to go to
Vorrei andare qui, I want to go here
Mi sono persa, I’m lost
È di qua?, Is it this way?
Dov’è, Where is
Gira a destra, Turn right
Gira a sinistra, Turn left
È qua vicino, It’s close by
È laggiù, It’s over there
È davanti alla scuola, It’s opposite the school
È dietro la stazione, It’s behind the station
È sotto il ponte, It’s under the bridge
È a fianco alla chiesa, It’s next to the church
È prima della stazione di servizio, It’s before the gas station
È dopo la gelateria, It’s past the ice-cream parlor
Dov’è il bagno?, Where is the bathroom / toilet?
Mi piace questo, I like this
Quanto costa questo?, How much is this?
È troppo caro per me, It’s too expensive for me
Sì grazie, Yes please
No  grazie, No thanks
Può farmi uno sconto?, Can you do me a discount?
Cerco un/una, I’m looking for a
Sto solo guardando, I’m just looking around
Un attimo, Just a moment
Mi scusi, Excuse me
Non parlo bene l’italiano., I don’t speak Italian well.
Parla inglese?, Do you speak English?
Parlo inglese., I speak English.
Non lo so., I don’t know.
Non posso., I can’t.
Non potevo., I couldn’t.
Non lo faccio., I won’t do it.
Non dimenticare!, Don’t forget!
Mi sono perso.,I’m lost.
Sto cercando il mio albergo.,I’m looking for my hotel. 
Sì lo so., Yes I know.
Non lo so., I don’t know.
Non so dove sia., I don’t know where it is.
Non capisco., I don’t understand.
Capisco grazie., I understand thanks.
Lei non mangia la carne., She doesn’t eat meat.
Non siamo americani., We aren’t American.
Il caffè non è buono., The coffee isn’t good.
Non è caro!, It’s not expensive!
Può ripetere per cortesia?, Can you repeat please?
È bello., It’s beautiful.
È bellissimo., It’s very beautiful.
Vado a casa., I’m going home.
Domani visitiamo Venezia, We’ll visit Venice tomorrow.
Due cappuccini per favore., Two cappuccinos please.
Uno, One
Due, Two
Tre, Three
Quattro, Four
Cinque, Five
Sei, Six
Sette, Seven
Otto, Eight
Nove, Nine
Dieci, Ten
Undici, Eleven
Dodici, Twelve
Tredici, Thirteen
Quattordici, Fourteen
Quindici, Fifteen
Sedici, Sixteen
Diciassette, Seventeen
Diciotto, Eighteen
Diciannove, Nineteen
Venti, Twenty
Ventuno, Twenty-One
Ventidue, Twenty-Two
Trenta, Thirty
Quaranta, Forty
Cinquanta, Fifty
Sessanta, Sixty
Settanta, Seventy
Ottanta, Eighty
Novanta, Ninety
Cento, One Hundred
Mille, One Thousand
lunedì,Monday
martedì,Tuesday
mercoledì,Wednesday
giovedì,Thursday
venerdì,Friday
sabato,Saturday
domenica,Sunday
gennaio,January
febbraio,February
marzo,March
aprile,April
maggio,May
giugno,June
luglio,July
agosto,August
settembre,September
ottobre,October
novembre,November
dicembre,December
Che giorno è oggi?,What day is today?
Oggi è venerdì.,Today is Friday.
Che giorno parti?,What day are you leaving?
Parto lunedì.,I’m leaving on Monday.
In che mese vai in Italia?,What month are you going to Italy?
Non si sente bene, He/she doesn’t feel well
Quando è il tuo compleanno?, When’s your birthday?
Madre,Mother
Padre,Father
Genitori,Parents
Sorella,Sister
Fratello,Brother
Figlia,Daughter
Figlio,Son
Marito,Husband
Moglie,Wife
Zia,Aunt
Zio,Uncle
Nonna,Grandmother
Nonno,Grandfather
